               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10859,            0.023953,            0.053101,           0.0020008,             0.42464,           0.0018078,          0.00040939,            0.071286,            0.018622,            0.036326,           0.0033003,           0.0033003,            0.070297
                   1,            0.075077,            0.027882,            0.051058,             0.18007,             0.29354,            0.021124,           0.0047187,            0.045399,            0.069053,            0.034772,           0.0066118,           0.0066118,            0.040275
                   2,            0.062642,            0.025909,            0.048882,            0.035863,             0.12416,            0.023051,           0.0047545,            0.063705,            0.014549,            0.034294,           0.0099012,           0.0099012,            0.010231
                   3,             0.05642,            0.023412,            0.044104,             0.13113,             0.49673,             0.15492,            0.053393,            0.042993,            0.038445,             0.02971,            0.009901,            0.009901,            0.009901
                   4,            0.050746,            0.021291,            0.038604,             0.34727,             0.68878,             0.51702,             0.24045,            0.024894,            0.013629,            0.020787,            0.009901,            0.009901,            0.009901
                   5,            0.046201,             0.01901,            0.035829,             0.49958,             0.64882,              0.5451,             0.28343,            0.024746,            0.015394,            0.026179,            0.009868,            0.009868,            0.009868
                   6,            0.042385,            0.018096,            0.033868,             0.42957,             0.79456,             0.64328,             0.28402,            0.027173,            0.012309,            0.021347,            0.009835,            0.009835,            0.009835
                   7,            0.041324,            0.017405,            0.031113,             0.68526,             0.84106,             0.85766,             0.51436,            0.020387,            0.009696,            0.014045,            0.009802,            0.009802,            0.009802
                   8,            0.040043,            0.016871,            0.027398,             0.74954,             0.82339,             0.89645,             0.48484,            0.021185,            0.010049,             0.01229,            0.009769,            0.009769,            0.009769
                   9,            0.039301,            0.016487,            0.024327,             0.62239,             0.58166,              0.7443,             0.43852,             0.02288,            0.013512,             0.01761,            0.009736,            0.009736,            0.009736
                  10,             0.03814,            0.016202,            0.021005,              0.8696,              0.8453,             0.93479,             0.50251,            0.022626,           0.0094249,           0.0096716,            0.009703,            0.009703,            0.009703
                  11,            0.038008,            0.015874,            0.017768,             0.97582,             0.97686,             0.99008,              0.6104,            0.019022,           0.0082194,           0.0027282,             0.00967,             0.00967,             0.00967
                  12,            0.036246,            0.014996,            0.016213,              0.7019,             0.72222,             0.72385,             0.36086,            0.022471,           0.0099414,            0.024566,            0.009637,            0.009637,            0.009637
                  13,            0.035805,            0.014854,            0.014692,             0.96548,             0.93736,             0.99122,             0.46415,            0.023935,           0.0081222,           0.0038847,            0.009604,            0.009604,            0.009604
                  14,            0.035253,            0.014253,             0.01335,              0.8356,             0.84474,             0.94894,             0.56511,            0.022089,           0.0089105,            0.009273,            0.009571,            0.009571,            0.009571
                  15,            0.034868,              0.0142,            0.012802,             0.98105,             0.98646,              0.9928,             0.61906,            0.019636,           0.0082588,           0.0023809,            0.009538,            0.009538,            0.009538
                  16,            0.034137,            0.014178,            0.011255,             0.98111,             0.98986,             0.99249,             0.66257,            0.017981,           0.0085952,           0.0014593,            0.009505,            0.009505,            0.009505
                  17,            0.033527,             0.01397,            0.011399,             0.92601,             0.90711,             0.97586,             0.54462,            0.022076,           0.0092305,           0.0028848,            0.009472,            0.009472,            0.009472
                  18,            0.032389,            0.013613,            0.010594,             0.99207,             0.99468,             0.99301,             0.68148,            0.017765,            0.007729,           0.0010725,            0.009439,            0.009439,            0.009439
                  19,            0.032881,            0.013744,            0.010606,              0.9871,             0.99554,             0.99339,             0.61929,            0.019199,           0.0078561,           0.0010758,            0.009406,            0.009406,            0.009406
                  20,            0.032571,             0.01341,           0.0095396,             0.99043,             0.98902,             0.99351,             0.70033,            0.016171,           0.0071489,           0.0013162,            0.009373,            0.009373,            0.009373
                  21,             0.03217,            0.013125,            0.010174,             0.98564,             0.99027,             0.99286,             0.69297,             0.01681,           0.0073284,           0.0011225,             0.00934,             0.00934,             0.00934
                  22,             0.03096,            0.013292,           0.0092095,               0.982,             0.98023,             0.99263,             0.71293,            0.015533,           0.0072236,           0.0013872,            0.009307,            0.009307,            0.009307
                  23,             0.03061,            0.012679,             0.00887,             0.96837,             0.96772,             0.98769,             0.67475,            0.017599,           0.0080083,           0.0021009,            0.009274,            0.009274,            0.009274
                  24,            0.030667,            0.012976,           0.0085949,              0.9695,             0.98668,             0.98724,             0.67798,            0.016117,           0.0078727,           0.0015523,            0.009241,            0.009241,            0.009241
                  25,            0.030457,            0.012798,           0.0091537,             0.98232,             0.97736,             0.99217,             0.64431,            0.017033,           0.0084001,           0.0011377,            0.009208,            0.009208,            0.009208
                  26,             0.03045,            0.012963,           0.0078955,             0.96347,             0.95935,             0.99298,             0.68882,            0.016453,           0.0069398,           0.0031504,            0.009175,            0.009175,            0.009175
                  27,             0.03064,            0.012605,           0.0088841,             0.98753,             0.99934,             0.99389,             0.70915,            0.015456,           0.0071054,           0.0010704,            0.009142,            0.009142,            0.009142
                  28,            0.030004,            0.012821,           0.0083069,             0.99408,             0.99933,             0.99388,             0.73219,            0.014185,           0.0066141,          0.00058074,            0.009109,            0.009109,            0.009109
                  29,             0.02963,            0.012437,            0.007511,             0.97933,             0.97726,             0.99354,             0.71731,             0.01521,           0.0070257,           0.0014541,            0.009076,            0.009076,            0.009076
                  30,            0.029532,            0.012475,           0.0072837,             0.98964,             0.99928,             0.99424,             0.70422,             0.01514,           0.0065353,          0.00062712,            0.009043,            0.009043,            0.009043
                  31,            0.028636,            0.012413,           0.0072287,             0.99222,                   1,             0.99355,             0.73153,            0.014333,            0.006777,          0.00060629,             0.00901,             0.00901,             0.00901
                  32,            0.028103,            0.012096,           0.0067965,             0.99003,             0.98578,             0.99254,             0.70236,            0.015886,           0.0075149,           0.0013733,            0.008977,            0.008977,            0.008977
                  33,            0.027911,            0.012002,           0.0061897,             0.99237,             0.99088,             0.99369,             0.72196,            0.014235,           0.0071783,           0.0010318,            0.008944,            0.008944,            0.008944
                  34,            0.028867,            0.012092,            0.007571,             0.97851,             0.96704,             0.99013,             0.71845,            0.015159,           0.0067529,           0.0019646,            0.008911,            0.008911,            0.008911
                  35,            0.028163,            0.011964,           0.0059934,             0.98922,             0.99547,             0.99366,             0.73375,            0.014487,           0.0064387,           0.0013722,            0.008878,            0.008878,            0.008878
                  36,            0.027997,             0.01189,           0.0069536,             0.97885,             0.98972,             0.99353,             0.73561,            0.014308,           0.0063834,            0.002147,            0.008845,            0.008845,            0.008845
                  37,            0.028497,            0.011911,           0.0067553,             0.99011,             0.99765,             0.99286,             0.75117,            0.012994,           0.0063633,          0.00073886,            0.008812,            0.008812,            0.008812
                  38,            0.027482,            0.011936,           0.0063378,             0.99197,             0.99709,             0.99358,             0.72905,            0.014084,             0.00673,          0.00064667,            0.008779,            0.008779,            0.008779
                  39,            0.027246,            0.011883,           0.0057622,             0.99496,             0.99952,             0.99428,              0.7584,            0.013358,           0.0062446,          0.00036678,            0.008746,            0.008746,            0.008746
                  40,            0.026614,            0.011452,           0.0058839,             0.98604,             0.99686,             0.99352,             0.73277,            0.014614,            0.006526,          0.00059747,            0.008713,            0.008713,            0.008713
                  41,            0.026944,            0.011743,            0.005592,             0.99122,             0.99974,             0.99396,             0.73927,             0.01355,           0.0061282,          0.00048356,             0.00868,             0.00868,             0.00868
                  42,            0.026985,             0.01148,           0.0048465,              0.9884,             0.99506,             0.99393,             0.75751,            0.012899,           0.0061464,          0.00083708,            0.008647,            0.008647,            0.008647
                  43,            0.027724,             0.01179,           0.0057835,             0.99275,             0.99806,             0.99432,             0.75681,            0.012968,           0.0064413,           0.0006204,            0.008614,            0.008614,            0.008614
                  44,            0.027021,            0.011598,           0.0059967,             0.99068,             0.99821,             0.99406,             0.73359,            0.013836,           0.0061851,          0.00058836,            0.008581,            0.008581,            0.008581
                  45,            0.026673,            0.011374,           0.0051268,             0.99225,             0.99792,             0.99441,             0.74985,            0.013694,           0.0060027,          0.00055767,            0.008548,            0.008548,            0.008548
                  46,            0.026628,            0.011512,           0.0059182,             0.98313,              0.9795,             0.99373,             0.74034,            0.014279,           0.0067161,           0.0019937,            0.008515,            0.008515,            0.008515
                  47,            0.025926,            0.011426,           0.0049846,             0.99512,              0.9994,             0.99431,             0.75304,            0.012789,           0.0061353,          0.00037753,            0.008482,            0.008482,            0.008482
                  48,            0.026192,            0.011562,           0.0051169,             0.99487,              0.9997,             0.99419,             0.76591,            0.012557,           0.0058923,          0.00042585,            0.008449,            0.008449,            0.008449
                  49,            0.025854,            0.011488,           0.0045809,             0.99349,             0.99904,             0.99427,             0.76831,            0.012186,           0.0057928,          0.00052239,            0.008416,            0.008416,            0.008416
                  50,            0.025838,            0.011455,           0.0049461,             0.98599,             0.99152,             0.99372,             0.75169,            0.013849,           0.0062257,          0.00098173,            0.008383,            0.008383,            0.008383
                  51,            0.025457,            0.011336,           0.0045289,             0.99137,             0.99901,             0.99401,             0.75694,            0.012827,           0.0058291,          0.00053467,             0.00835,             0.00835,             0.00835
                  52,            0.025614,            0.011451,           0.0047523,             0.98809,             0.99612,             0.99439,             0.76152,            0.012885,           0.0060861,          0.00095574,            0.008317,            0.008317,            0.008317
                  53,            0.025731,            0.011357,           0.0050656,             0.99486,             0.99928,             0.99345,             0.75846,             0.01242,           0.0057728,          0.00038988,            0.008284,            0.008284,            0.008284
                  54,            0.025043,            0.010927,           0.0040004,             0.99419,             0.99946,               0.994,             0.75183,             0.01285,           0.0058994,          0.00039067,            0.008251,            0.008251,            0.008251
                  55,            0.025627,            0.010914,           0.0040123,             0.99479,             0.99971,             0.99413,             0.74434,             0.01293,           0.0059197,          0.00033129,            0.008218,            0.008218,            0.008218
                  56,            0.025186,            0.011077,           0.0040684,             0.99396,             0.99968,             0.99442,             0.76231,            0.012393,            0.006015,          0.00031996,            0.008185,            0.008185,            0.008185
                  57,            0.025672,            0.010806,           0.0054449,             0.99205,             0.99752,             0.99404,             0.76335,            0.012485,            0.005734,          0.00067937,            0.008152,            0.008152,            0.008152
                  58,            0.024772,            0.011053,           0.0044523,             0.99498,                   1,              0.9939,             0.76762,            0.011933,           0.0056256,           0.0003417,            0.008119,            0.008119,            0.008119
                  59,            0.024911,            0.010991,           0.0049132,             0.99457,             0.99952,             0.99368,             0.76842,            0.012342,            0.005876,          0.00026654,            0.008086,            0.008086,            0.008086
                  60,            0.025008,            0.010943,           0.0047591,             0.99323,             0.99949,              0.9935,             0.76974,            0.012029,           0.0056149,           0.0004162,            0.008053,            0.008053,            0.008053
                  61,            0.025236,            0.010975,           0.0038594,             0.99482,             0.99973,             0.99265,             0.77386,             0.01212,           0.0058026,          0.00023303,             0.00802,             0.00802,             0.00802
                  62,            0.024935,            0.010847,           0.0044715,             0.99441,              0.9993,             0.99417,             0.77441,            0.011888,           0.0058596,          0.00027259,            0.007987,            0.007987,            0.007987
                  63,            0.024976,            0.010929,             0.00408,             0.99401,             0.99811,             0.99376,             0.76996,            0.012079,           0.0058251,           0.0002331,            0.007954,            0.007954,            0.007954
                  64,            0.024749,            0.010747,           0.0040293,             0.99411,             0.99856,             0.99357,             0.76549,            0.012603,           0.0058505,          0.00030507,            0.007921,            0.007921,            0.007921
                  65,            0.024838,            0.010788,           0.0044217,             0.99489,             0.99931,             0.99435,             0.77947,            0.011893,           0.0055902,           0.0002797,            0.007888,            0.007888,            0.007888
                  66,            0.024575,            0.010656,           0.0045215,             0.99465,                   1,             0.99416,             0.76147,            0.012476,           0.0057905,          0.00021464,            0.007855,            0.007855,            0.007855
                  67,            0.024945,            0.010779,           0.0040749,             0.99485,             0.99911,             0.99391,             0.76314,            0.012155,           0.0056711,          0.00032578,            0.007822,            0.007822,            0.007822
                  68,            0.024902,            0.010824,           0.0040975,             0.99194,             0.99888,             0.99325,             0.76769,            0.012104,           0.0057666,          0.00073556,            0.007789,            0.007789,            0.007789
                  69,            0.024122,            0.010887,           0.0042695,             0.99342,             0.99997,             0.99401,             0.77395,            0.011931,           0.0057531,          0.00026082,            0.007756,            0.007756,            0.007756
                  70,            0.024776,            0.010878,           0.0035738,             0.99277,             0.99858,             0.99406,             0.76738,            0.012459,           0.0057992,           0.0003504,            0.007723,            0.007723,            0.007723
                  71,            0.024525,            0.010772,           0.0040367,             0.99395,             0.99914,             0.99443,             0.77888,            0.012051,           0.0056154,          0.00042651,             0.00769,             0.00769,             0.00769
                  72,            0.024104,            0.010749,           0.0038231,             0.99261,             0.99922,              0.9943,             0.76441,            0.012136,           0.0056488,          0.00026082,            0.007657,            0.007657,            0.007657
                  73,            0.024407,            0.010857,           0.0039198,             0.99497,              0.9995,             0.99397,             0.77513,            0.011679,           0.0056117,          0.00023543,            0.007624,            0.007624,            0.007624
                  74,            0.023606,             0.01078,            0.003566,             0.99493,             0.99966,             0.99397,             0.77841,            0.011752,           0.0056072,          0.00023965,            0.007591,            0.007591,            0.007591
                  75,            0.023978,            0.010484,           0.0037484,             0.99491,             0.99983,             0.99376,             0.78557,            0.011582,           0.0054576,           0.0002272,            0.007558,            0.007558,            0.007558
                  76,            0.024177,            0.010639,           0.0039952,             0.99506,             0.99974,             0.99405,             0.77771,            0.011741,           0.0055727,          0.00029535,            0.007525,            0.007525,            0.007525
                  77,            0.024396,            0.010559,            0.003679,             0.99528,             0.99958,             0.99431,             0.78062,            0.011448,           0.0054849,          0.00021316,            0.007492,            0.007492,            0.007492
                  78,            0.023516,            0.010762,           0.0034723,             0.99464,             0.99971,             0.99392,             0.78466,            0.011296,           0.0054255,          0.00019378,            0.007459,            0.007459,            0.007459
                  79,            0.023693,            0.010633,           0.0036148,             0.99487,             0.99977,             0.99406,             0.78321,            0.011512,            0.005505,          0.00025942,            0.007426,            0.007426,            0.007426
                  80,            0.023823,            0.010423,           0.0037199,             0.99399,              0.9999,             0.99356,             0.77253,            0.011889,           0.0056008,          0.00043272,            0.007393,            0.007393,            0.007393
                  81,            0.023714,            0.010539,           0.0033662,             0.99393,             0.99908,             0.99441,             0.78509,            0.011718,           0.0054377,          0.00025601,             0.00736,             0.00736,             0.00736
                  82,            0.023656,            0.010535,           0.0033625,              0.9949,                   1,             0.99435,              0.7861,            0.011497,           0.0054133,           0.0001946,            0.007327,            0.007327,            0.007327
                  83,            0.023831,            0.010249,           0.0028773,             0.99532,             0.99921,             0.99403,             0.78476,            0.011438,            0.005475,          0.00022387,            0.007294,            0.007294,            0.007294
                  84,            0.023421,            0.010508,           0.0030813,             0.99501,             0.99984,             0.99395,             0.77907,            0.011658,           0.0053866,          0.00022728,            0.007261,            0.007261,            0.007261
                  85,            0.023513,             0.01059,           0.0036286,             0.99487,             0.99882,             0.99383,             0.78648,            0.011542,           0.0055708,          0.00029407,            0.007228,            0.007228,            0.007228
                  86,            0.023668,            0.010358,           0.0037238,             0.99467,                   1,             0.99454,             0.78653,            0.011605,           0.0054639,          0.00020577,            0.007195,            0.007195,            0.007195
                  87,            0.023365,            0.010597,           0.0032531,             0.99419,             0.99953,              0.9942,             0.79092,            0.011187,           0.0054086,          0.00023744,            0.007162,            0.007162,            0.007162
                  88,            0.023277,            0.010362,           0.0038092,             0.99471,             0.99985,              0.9939,             0.78442,            0.011482,           0.0054548,          0.00022156,            0.007129,            0.007129,            0.007129
                  89,             0.02354,            0.010601,           0.0036214,             0.99217,             0.99785,             0.99419,             0.78195,            0.011467,           0.0055034,          0.00031185,            0.007096,            0.007096,            0.007096
                  90,            0.023386,            0.010584,           0.0031419,             0.99475,             0.99986,             0.99389,             0.77965,            0.011375,           0.0055335,          0.00018864,            0.007063,            0.007063,            0.007063
                  91,             0.02321,            0.010571,           0.0032082,               0.995,                   1,             0.99385,             0.79221,            0.011012,           0.0053293,          0.00018818,             0.00703,             0.00703,             0.00703
                  92,            0.022888,            0.010607,           0.0032851,             0.99479,                   1,             0.99404,             0.79052,            0.011082,           0.0053448,          0.00019066,            0.006997,            0.006997,            0.006997
                  93,            0.023015,             0.01034,            0.003031,             0.99515,                   1,             0.99417,             0.79331,            0.011099,           0.0052838,          0.00016143,            0.006964,            0.006964,            0.006964
                  94,            0.022758,            0.010387,            0.003472,             0.99505,                   1,             0.99426,              0.7921,             0.01106,           0.0053098,          0.00019733,            0.006931,            0.006931,            0.006931
                  95,            0.022806,             0.01034,           0.0030536,             0.99431,             0.99893,             0.99402,             0.79443,            0.011047,           0.0053486,          0.00031353,            0.006898,            0.006898,            0.006898
                  96,            0.022792,            0.010407,           0.0026449,             0.99507,                   1,             0.99398,             0.78969,            0.011176,           0.0053844,          0.00020821,            0.006865,            0.006865,            0.006865
                  97,            0.023114,            0.010195,           0.0029432,             0.99508,                   1,             0.99408,             0.79458,            0.011087,           0.0053044,          0.00017769,            0.006832,            0.006832,            0.006832
                  98,             0.02277,            0.010347,           0.0032674,              0.9953,                   1,             0.99417,             0.78718,            0.011592,           0.0055039,          0.00017893,            0.006799,            0.006799,            0.006799
                  99,             0.02255,           0.0099983,           0.0028383,             0.99525,                   1,             0.99436,             0.79289,            0.010944,           0.0053304,          0.00019274,            0.006766,            0.006766,            0.006766
                 100,            0.022388,            0.010254,           0.0028505,             0.99516,                   1,             0.99403,             0.79528,            0.010919,           0.0052726,          0.00017717,            0.006733,            0.006733,            0.006733
                 101,             0.02239,            0.010235,           0.0027067,             0.99505,                   1,             0.99418,             0.79492,            0.010759,           0.0051334,          0.00019019,              0.0067,              0.0067,              0.0067
                 102,            0.022468,            0.010197,           0.0027537,             0.99425,                   1,             0.99413,             0.79304,            0.011111,           0.0053645,          0.00015606,            0.006667,            0.006667,            0.006667
                 103,            0.022601,            0.010199,           0.0032173,             0.99522,                   1,             0.99378,             0.79619,            0.010864,           0.0052293,          0.00017153,            0.006634,            0.006634,            0.006634
                 104,            0.023229,            0.010242,           0.0028634,             0.99434,                   1,              0.9939,             0.79377,             0.01097,           0.0051665,          0.00016477,            0.006601,            0.006601,            0.006601
                 105,            0.022431,            0.010168,           0.0030591,             0.99523,                   1,             0.99387,             0.79754,            0.010749,           0.0051834,          0.00017637,            0.006568,            0.006568,            0.006568
                 106,            0.022419,            0.009993,           0.0026604,             0.99521,                   1,             0.99389,             0.79051,            0.010884,           0.0052047,          0.00022753,            0.006535,            0.006535,            0.006535
                 107,            0.022731,            0.010041,           0.0029235,             0.99472,             0.99986,             0.99401,             0.79053,            0.011061,           0.0053196,          0.00019431,            0.006502,            0.006502,            0.006502
                 108,            0.022368,            0.009902,           0.0028581,              0.9946,             0.99946,             0.99416,             0.79544,            0.010896,           0.0052328,          0.00022696,            0.006469,            0.006469,            0.006469
                 109,            0.022641,            0.010218,           0.0027476,              0.9951,                   1,             0.99401,             0.79741,            0.010595,           0.0051484,          0.00015274,            0.006436,            0.006436,            0.006436
                 110,            0.022592,             0.01024,           0.0031558,             0.99519,                   1,             0.99428,             0.79524,            0.010849,           0.0051657,          0.00017244,            0.006403,            0.006403,            0.006403
                 111,            0.022105,            0.010149,           0.0024524,             0.99494,                   1,             0.99412,             0.79373,            0.010736,           0.0051588,          0.00017369,             0.00637,             0.00637,             0.00637
                 112,            0.022626,            0.010063,           0.0022981,              0.9949,             0.99952,             0.99403,             0.80024,            0.010602,           0.0051121,          0.00018073,            0.006337,            0.006337,            0.006337
                 113,            0.022186,            0.010036,           0.0024209,             0.99507,             0.99982,             0.99411,             0.79896,            0.010641,           0.0051469,          0.00020016,            0.006304,            0.006304,            0.006304
                 114,            0.022307,            0.010186,           0.0028448,             0.99505,             0.99964,             0.99408,             0.78891,            0.011053,           0.0052927,           0.0002048,            0.006271,            0.006271,            0.006271
                 115,            0.022345,            0.010042,           0.0027185,             0.99486,                   1,             0.99418,             0.79155,            0.010824,            0.005235,          0.00017481,            0.006238,            0.006238,            0.006238
                 116,            0.022355,           0.0098754,           0.0037503,             0.99533,             0.99984,             0.99427,             0.79623,            0.011107,             0.00523,          0.00016403,            0.006205,            0.006205,            0.006205
                 117,            0.022576,            0.010157,           0.0028759,             0.99521,                   1,             0.99396,             0.79307,            0.010884,           0.0051866,          0.00014495,            0.006172,            0.006172,            0.006172
                 118,            0.022609,             0.01013,            0.002795,             0.99452,                   1,             0.99403,             0.79844,            0.010681,           0.0052216,          0.00014075,            0.006139,            0.006139,            0.006139
                 119,            0.021915,           0.0099525,           0.0026156,             0.99521,             0.99945,             0.99388,             0.80008,            0.010613,            0.005075,          0.00023181,            0.006106,            0.006106,            0.006106
                 120,            0.021994,            0.010121,           0.0025794,             0.99515,                   1,             0.99431,              0.7955,            0.010844,           0.0052085,          0.00017036,            0.006073,            0.006073,            0.006073
                 121,            0.021608,            0.010089,           0.0026982,             0.99319,             0.99628,             0.99366,             0.78504,            0.011514,           0.0055047,          0.00024769,             0.00604,             0.00604,             0.00604
                 122,            0.021842,            0.010093,           0.0029695,             0.99505,                   1,             0.99406,             0.79595,            0.010789,           0.0051288,          0.00013245,            0.006007,            0.006007,            0.006007
                 123,            0.021752,            0.010252,           0.0031083,              0.9944,             0.99942,             0.99439,             0.79885,            0.010565,           0.0051659,          0.00020965,            0.005974,            0.005974,            0.005974
                 124,            0.022169,            0.010003,           0.0027477,             0.99509,             0.99987,             0.99415,             0.80223,            0.010646,           0.0051176,          0.00018405,            0.005941,            0.005941,            0.005941
                 125,            0.022211,            0.010037,           0.0021621,             0.99532,                   1,             0.99416,             0.80125,            0.010504,            0.005057,          0.00016541,            0.005908,            0.005908,            0.005908
                 126,            0.021793,           0.0098959,           0.0026412,             0.99507,                   1,              0.9939,             0.80876,            0.010341,           0.0050418,          0.00015699,            0.005875,            0.005875,            0.005875
                 127,            0.021977,           0.0099133,            0.002663,             0.99511,             0.99952,             0.99422,             0.80764,             0.01039,           0.0050694,          0.00019872,            0.005842,            0.005842,            0.005842
                 128,            0.021802,           0.0099431,           0.0024091,             0.99523,                   1,             0.99422,             0.80116,            0.010427,           0.0050822,          0.00014986,            0.005809,            0.005809,            0.005809
                 129,            0.022247,           0.0098919,           0.0026128,             0.99506,              0.9996,             0.99403,             0.80296,            0.010635,           0.0050801,          0.00017268,            0.005776,            0.005776,            0.005776
                 130,            0.021869,            0.009771,           0.0026855,             0.99495,             0.99957,             0.99397,             0.80059,            0.010817,           0.0051288,          0.00022038,            0.005743,            0.005743,            0.005743
                 131,             0.02153,           0.0099428,           0.0022524,             0.99452,             0.99975,             0.99409,              0.8023,            0.010443,            0.005064,          0.00017896,             0.00571,             0.00571,             0.00571
                 132,            0.021445,           0.0097085,           0.0023152,             0.99542,             0.99998,             0.99397,             0.80402,            0.010408,           0.0051068,          0.00014898,            0.005677,            0.005677,            0.005677
                 133,             0.02137,           0.0099599,           0.0019677,             0.99513,                   1,              0.9939,             0.80489,            0.010525,           0.0051067,          0.00016547,            0.005644,            0.005644,            0.005644
                 134,            0.021609,           0.0095874,           0.0026188,             0.99537,             0.99988,             0.99387,             0.80585,             0.01043,           0.0051031,          0.00017745,            0.005611,            0.005611,            0.005611
                 135,            0.021272,           0.0098517,           0.0028796,             0.99513,                   1,             0.99368,             0.80194,            0.010419,           0.0051293,          0.00015029,            0.005578,            0.005578,            0.005578
                 136,            0.021646,           0.0096772,           0.0028972,             0.99524,                   1,             0.99387,             0.80341,            0.010512,            0.005107,          0.00011996,            0.005545,            0.005545,            0.005545
                 137,            0.021401,           0.0099001,            0.002038,             0.99518,                   1,             0.99399,             0.80358,             0.01048,           0.0050877,          0.00015267,            0.005512,            0.005512,            0.005512
                 138,            0.021418,           0.0095606,           0.0025554,             0.99521,                   1,             0.99402,             0.80234,            0.010303,           0.0050315,           0.0001309,            0.005479,            0.005479,            0.005479
                 139,            0.020648,           0.0095789,           0.0018359,             0.99461,                   1,             0.99381,              0.8083,            0.010187,           0.0049902,          0.00013858,            0.005446,            0.005446,            0.005446
                 140,            0.021551,             0.00973,           0.0023185,             0.99499,                   1,             0.99407,             0.81092,            0.010239,           0.0050083,          0.00015792,            0.005413,            0.005413,            0.005413
                 141,            0.021241,            0.009658,           0.0029493,             0.99498,             0.99964,             0.99408,             0.80602,             0.01032,           0.0050972,          0.00014508,             0.00538,             0.00538,             0.00538
                 142,            0.021542,           0.0097237,           0.0025738,              0.9952,                   1,             0.99411,             0.80758,            0.010312,           0.0050636,          0.00011761,            0.005347,            0.005347,            0.005347
                 143,            0.021519,            0.009763,           0.0022967,             0.99522,                   1,             0.99407,              0.8092,            0.010262,           0.0050345,          0.00012046,            0.005314,            0.005314,            0.005314
                 144,            0.021444,            0.009674,            0.002404,             0.99508,                   1,             0.99401,             0.80323,            0.010529,           0.0050816,          0.00014148,            0.005281,            0.005281,            0.005281
                 145,            0.021364,           0.0099346,           0.0025717,             0.99528,                   1,             0.99409,             0.80913,            0.010215,           0.0050496,          0.00015988,            0.005248,            0.005248,            0.005248
                 146,            0.021195,           0.0096714,           0.0028498,              0.9953,                   1,             0.99394,             0.80917,            0.010309,            0.005053,          0.00014658,            0.005215,            0.005215,            0.005215
                 147,            0.021213,           0.0096565,           0.0020623,             0.99517,             0.99992,             0.99409,             0.80891,            0.010173,           0.0049806,          0.00011343,            0.005182,            0.005182,            0.005182
                 148,            0.021306,           0.0098224,           0.0022855,             0.99523,                   1,             0.99399,             0.81258,              0.0101,           0.0049854,           0.0001278,            0.005149,            0.005149,            0.005149
